Unnamed: 0,text,Emotion
388803,i do feel like i am alot more outgoing then i use to be though,neutral
79052,i go back and face the home in that ruined state i feel even more frustrated,neutral
736807,i feel the amount allocated is inadequate,neutral
114142,im feeling very mellow and affectionate right now,love
64730,i feel their anticipation on the update and i am very eager to get this out to all of them,enthusiasm
396519,i had this feeling of you did good sister hanselman with your little piece of my vineyard as i caught the last glimpse of los angeles,neutral
595889,im feeling insecure about it,neutral
172633,i should feel nervous but pure delight is the only feeling i can find,neutral
741535,i have also started to feel very dull these past few days,neutral
206187,i feel so privileged to have direct access to such a brilliant and indomitable mind,neutral
198502,i feel like i get blamed for all his stress sometimes,neutral
668453,i feel most girls want to feel like they are important and want to be pursued so they can turn down and feel better about themselves,neutral
532078,while preparing my masters thesis,neutral
726852,i can t have and feeling needy in some ways that make me exceedingly uncomfortable,relief
549502,i do need that additional strength i feel confident that my champion at s attacks on his own and the great shaman will be able to take care of that,neutral
707367,i don t feel too disadvantaged,sadness
674526,i wasnt feeling so rushed i could get through this not feeling so trapped or forced,neutral
501534,i have been feeling pretty fucked in the head all this time and not really talking to anyone about it,neutral
414167,i feel frequently hesitant since i feel that recommendations might be solid by the those who made the web site,neutral
521252,i was going for a slightly worn rustic feel im fond of that style if you havent noticed it would easily be used as a drawing pad since i used a nice heavyweight paper that takes ink and graphite really nicely but i intended this as a travelers journal,neutral
8964,i feel so dumb i feel so,neutral
79908,i touched jds hand after the show and fell asleep feeling ecstatic,neutral
146558,i am not a big fan of valentines day as i feel pressured to go out and sit awkwardly at a table with my husband rammed in next to other couples,neutral
378362,i don t know but i do feel very sympathetic towards his characters and see much of myself in them,neutral
217225,i am feeling uncertain about the future right now,neutral
433763,i feel like if one is going to splurge something like this would be perfect,neutral
610925,i feel most glamorous when im getting ready to go out somewhere nice,neutral
125559,i feel like i ve been alone,neutral
750791,im feeling pretty terrible walking around with my shoulders slumped like my dramatic neice who is turning three,neutral
132361,i feel like river is going to end up being the astronaut all i can imagine is her in the space suit in the library and she keeps being really suspicious about her future,neutral
694868,i feel theyre all very valuable questions to ask yourself,neutral
59360,i feel that mulberries might not be subjected too badly to strange weather,neutral
550623,im feeling particularly dirty today,neutral
770292,i feel hopeful about getting out of this tough stage with the kids,neutral
117432,i am feeling afraid lonely or missing home i need to remember who has called me to this life i am living and who i am to sing my praises towards the lord almighty for he is worthy of our praise,neutral
754521,i feel caring is so precious that we must teach it to every one,neutral
732033,im feeling pretty frustrated now because im going to have writing exams these few days and at the same time i need to pack everything in my room before th july,neutral
526519,i feel so empty and hollow pre chorus and ill never give myself to another the way i gave it to you dont even recognize the ways you hurt me do you,empty
685297,i like control i had been out of control of my life before with depression but i was healed perfectly and i feel wonderful,neutral
467348,i just feel unsure that it is what i really want,neutral
